IEEE Latin America Transactions,1000
IEEE Transactions on Aerospace and Electronic Systems,1000
IEEE Transactions on Affective Computing,1000
IEEE Transactions on Antennas and Propagation,700
IEEE Transactions on Applied Superconductivity,700
IEEE Transactions on Artificial Intelligence,700
IEEE Transactions on Automatic Control,700
IEEE Transactions on Automation Science and Engineering,700
IEEE Transactions on Big Data,700
IEEE Transactions on Biomedical Circuits and Systems,1000
IEEE Transactions on Biomedical Engineering,1000
IEEE Transactions on Biometrics,1000
IEEE Transactions on Broadcasting,2000
IEEE Transactions on Circuits and Systems I: Regular Papers,2000
IEEE Transactions on Circuits and Systems II: Express Briefs,2000
IEEE Transactions on Circuits and Systems for Video Technology,2000
IEEE Transactions on Cloud Computing,900
IEEE Transactions on Cognitive Communications and Networking,900
IEEE Transactions on Cognitive and Developmental Systems,900
IEEE Transactions on Communications,900
IEEE Transactions on Components,900
IEEE Transactions on Computational Social Systems,900
IEEE Transactions on Computer-Aided Design of Integrated Circuits and Systems,900
IEEE Transactions on Computers,3000
IEEE Transactions on Consumer Electronics,3000
IEEE Transactions on Control Systems Technology,3000
IEEE Transactions on Control of Network Systems,3000
IEEE Transactions on Cybernetics,3000
IEEE Transactions on Dependable and Secure Computing,3000
IEEE Transactions on Device and Materials Reliability,2000
IEEE Transactions on Dielectrics and Electrical Insulation,2000
IEEE Transactions on Education,2000
IEEE Transactions on Electromagnetic Compatibility,2000
IEEE Transactions on Electron Devices,3000
IEEE Transactions on Emerging Topics in Computational Intelligence,3000
IEEE Transactions on Emerging Topics in Computing,1500
IEEE Transactions on Energy Conversion,1500
IEEE Transactions on Engineering Management,1500
IEEE Transactions on Evolutionary Computation,1500
IEEE Transactions on Fuzzy Systems,1500
IEEE Transactions on Games,1500
IEEE Transactions on Geoscience and Remote Sensing,1500
IEEE Transactions on Green Communications and Networking,1500
IEEE Transactions on Haptics,1500
IEEE Transactions on Human-Machine Systems,1500
IEEE Transactions on Industrial Electronics,1500
IEEE Transactions on Industrial Informatics,1500
IEEE Transactions on Industry Applications,500
IEEE Transactions on Information Forensics and Security,500
IEEE Transactions on Information Theory,500
IEEE Transactions on Instrumentation and Measurement,500
IEEE Transactions on Intelligent Transportation Systems,750
IEEE Transactions on Intelligent Vehicles,750
IEEE Transactions on Knowledge and Data Engineering,750
IEEE Transactions on Learning Technologies,750
IEEE Transactions on Magnetics,500
IEEE Transactions on Medical Imaging,500
IEEE Transactions on Medical Robotics and Bionics,500
IEEE Transactions on Microwave Theory and Techniques,500
IEEE Transactions on Mobile Computing,750
IEEE Transactions on Molecular,750
IEEE Transactions on Multimedia,750
IEEE Transactions on Nanobioscience,500
IEEE Transactions on Nanotechnology,500
IEEE Transactions on Network Science and Engineering,500
IEEE Transactions on Network and Service Management,500
IEEE Transactions on Neural Networks and Learning Systems,750
IEEE Transactions on Nuclear Science,750
IEEE Transactions on Parallel and Distributed Systems,2000
IEEE Transactions on Pattern Analysis and Machine Intelligence,2000
IEEE Transactions on Plasma Science,2000
IEEE Transactions on Power Delivery,2000
IEEE Transactions on Power Electronics,2000
IEEE Transactions on Power Systems,1000
IEEE Transactions on Professional Communication,1000
IEEE Transactions on Radiation and Plasma Medical Sciences,100
IEEE Transactions on Reliability,800
IEEE Transactions on Robotics,800
IEEE Transactions on Semiconductor Manufacturing,800
IEEE Transactions on Services Computing,800
IEEE Transactions on Signal Processing,800
IEEE Transactions on Signal and Information Processing over Networks,800
IEEE Transactions on Smart Grid,1000
IEEE Transactions on Software Engineering,1000
IEEE Transactions on Sustainable Computing,1000
IEEE Transactions on Sustainable Energy,700
IEEE Transactions on Systems,700
IEEE Transactions on Terahertz Science and Technology,700
IEEE Transactions on Transportation Electrification,700
IEEE Transactions on Ultrasonics,700
IEEE Transactions on Vehicular Technology,700
IEEE Transactions on Very Large Scale Integration (VLSI) Systems,1000
IEEE Transactions on Visualization and Computer Graphics,1000
IEEE Transactions on Wireless Communications,1000
IEEE transactions on neural systems and rehabilitation engineering : a publication of the IEEE Engineering in Medicine and Biology Society,2000
IEEE/ACM Transactions on Audio Speech and Language Processing,2000
IEEE/ACM Transactions on Computational Biology and Bioinformatics,2000
IEEE/ACM Transactions on Networking,2000
IEEE/ASME Transactions on Mechatronics,800
